


Constant Name   Base Length     Height          Calculated Pi        Pi Difference        Calculated GR        GR Difference       
π               0.0400          0.0255          3.1415793810         0.0000132726         1.6189974170         0.0009634283        
π               0.0295          0.0188          3.1415792556         0.0000133980         1.6189974570         0.0009634682        
π               0.0997          0.0635          3.1415791214         0.0000135321         1.6189974998         0.0009635110        
π               0.0892          0.0568          3.1415790493         0.0000136043         1.6189975227         0.0009635340        
π               0.0947          0.0603          3.1416062752         0.0000136216         1.6189888450         0.0009548562        
π               0.0190          0.0121          3.1415789910         0.0000136626         1.6189975413         0.0009635526        
π               0.0840          0.0535          3.1416063310         0.0000136774         1.6189888272         0.0009548384        
π               0.0787          0.0501          3.1415789579         0.0000136957         1.6189975519         0.0009635631        
π               0.0732          0.0466          3.1416064033         0.0000137497         1.6189888042         0.0009548154        
π               0.0681          0.0434          3.1415788381         0.0000138155         1.6189975901         0.0009636013        
π               0.0624          0.0398          3.1416065005         0.0000138469         1.6189887732         0.0009547844        
π               0.0576          0.0367          3.1415786745         0.0000139791         1.6189976422         0.0009636535        
π               0.0517          0.0329          3.1416066381         0.0000139845         1.6189887293         0.0009547406        
π               0.0962          0.0612          3.1415786121         0.0000140414         1.6189976621         0.0009636733        
π               0.0912          0.0580          3.1416067952         0.0000141416         1.6189886793         0.0009546905        
π               0.0856          0.0545          3.1415784743         0.0000141792         1.6189977060         0.0009637173        
π               0.0409          0.0261          3.1416068481         0.0000141945         1.6189886624         0.0009546736        
π               0.0470          0.0299          3.1415784376         0.0000142160         1.6189977177         0.0009637290        
π               0.0804          0.0512          3.1416069231         0.0000142695         1.6189886385         0.0009546497        
π               0.0751          0.0478          3.1415782979         0.0000143557         1.6189977623         0.0009637735        
π               0.0697          0.0443          3.1416070905         0.0000144369         1.6189885851         0.0009545964        
π               0.0984          0.0626          3.1416071913         0.0000145377         1.6189885530         0.0009545642        
π               0.0302          0.0192          3.1416072080         0.0000145544         1.6189885477         0.0009545589        
π               0.0646          0.0411          3.1415780638         0.0000145898         1.6189978369         0.0009638481        
π               0.0365          0.0232          3.1415780638         0.0000145898         1.6189978369         0.0009638481        
π               0.0084          0.0054          3.1415780638         0.0000145898         1.6189978369         0.0009638481        
π               0.0926          0.0590          3.1415780638         0.0000145898         1.6189978369         0.0009638481        
π               0.0589          0.0375          3.1416073191         0.0000146655         1.6189885123         0.0009545235        
π               0.0876          0.0558          3.1416073573         0.0000147038         1.6189885001         0.0009545113        
π               0.0821          0.0523          3.1415778496         0.0000148040         1.6189979051         0.0009639164        
π               0.0540          0.0344          3.1415777384         0.0000149152         1.6189979406         0.0009639518        
